0.015	1.699	0.000
0.019	1.797	0.000
0.023	1.896	0.000
0.026	1.990	0.000
0.030	2.070	0.000
0.034	2.138	0.000
0.038	2.218	0.000
0.042	2.289	0.000
0.047	2.348	0.000
0.051	2.412	0.000
0.056	2.483	0.000
0.060	2.536	0.000
0.065	2.588	0.000
0.070	2.652	0.000
0.075	2.702	0.000
0.080	2.760	0.000
0.085	2.803	0.000
0.089	2.855	0.000
0.094	2.901	0.000
0.099	2.951	0.000
0.104	2.994	0.000
0.108	3.038	0.000
0.113	3.090	0.000
0.118	3.132	0.000
0.123	3.171	0.000
0.128	3.218	0.000
0.133	3.258	0.000
0.138	3.297	0.000
0.143	3.338	0.000
0.147	3.373	0.000
0.152	3.410	0.000
0.158	3.454	0.000
0.163	3.494	0.000
0.168	3.532	0.000
0.173	3.572	0.000
0.178	3.612	0.000
0.183	3.645	0.000
0.188	3.684	0.000
0.193	3.724	0.000
0.198	3.757	0.000
0.203	3.798	0.000
0.208	3.834	0.000
0.213	3.867	0.000
0.218	3.902	0.000
0.222	3.944	0.000
0.227	3.993	0.000
0.232	4.047	0.000
0.237	4.096	0.000
0.241	4.160	0.000
0.246	4.248	0.000
0.250	4.330	0.000
0.255	4.390	0.000
0.259	4.490	0.000
0.262	4.605	0.000
0.265	4.738	0.000
0.269	4.826	0.000
0.273	4.930	0.000
0.276	5.069	0.000
0.280	5.138	0.000
0.284	5.235	0.000
0.287	5.386	0.000
0.290	5.489	0.000
0.294	5.580	0.000
0.298	5.671	0.000
0.301	5.817	0.000
0.306	5.906	0.000
0.310	5.962	0.000
0.315	6.027	0.000
0.319	6.090	0.000
0.324	6.158	0.000
0.328	6.198	0.000
0.333	6.246	0.000
0.338	6.303	0.000
0.342	6.356	0.000
0.347	6.393	0.100
0.352	6.442	0.200
0.357	6.496	0.300
0.362	6.535	0.400
0.367	6.580	0.600
0.372	6.635	0.900
0.377	6.677	1.100
0.382	6.704	1.600
0.387	6.743	16.200
0.392	6.777	30.000
0.397	6.800	33.400
0.402	6.830	48.000
0.408	6.864	64.400
0.413	6.889	74.900
0.418	6.912	82.200
0.423	6.940	96.700
0.429	6.973	116.600
0.434	6.993	117.000
0.440	7.016	127.700
0.445	7.045	145.900
0.450	7.065	161.500
0.455	7.093	164.300
0.460	7.117	175.000
0.466	7.142	185.700
0.471	7.163	200.900
0.476	7.190	204.200
0.481	7.216	223.500
0.487	7.246	239.700
0.492	7.275	266.500
0.497	7.301	257.400
0.503	7.322	265.700
0.508	7.347	283.000
0.514	7.380	306.500
0.519	7.408	311.100
0.524	7.433	321.100
0.529	7.461	339.700
0.534	7.487	359.800
0.539	7.506	355.500
0.545	7.531	392.800
0.550	7.556	371.500
0.555	7.580	374.900
0.561	7.596	372.600
0.566	7.622	413.800
0.571	7.647	431.300
0.577	7.671	439.600
0.582	7.689	443.400
0.587	7.718	461.800
0.592	7.740	476.100
0.598	7.769	484.800
0.603	7.788	484.400
0.609	7.811	496.300
0.614	7.838	508.000
0.619	7.857	509.100
0.625	7.878	512.700
0.630	7.898	496.600
0.635	7.923	512.000
0.641	7.942	516.200
0.646	7.965	527.800
0.651	7.987	546.900
0.656	8.012	560.900
0.661	8.029	565.800
0.667	8.056	579.000
0.672	8.080	587.900
0.677	8.105	599.900
0.682	8.125	606.600
0.687	8.145	614.100
0.693	8.165	626.900
0.698	8.190	636.800
0.703	8.205	649.100
0.708	8.224	434.900
0.713	8.245	437.900
0.719	8.272	436.800
0.724	8.291	435.000
