0.010	1.618	0.000
0.013	1.714	0.000
0.017	1.795	0.000
0.021	1.870	0.000
0.025	1.952	0.000
0.030	2.020	0.000
0.034	2.091	0.000
0.038	2.157	0.000
0.043	2.218	0.000
0.047	2.278	0.000
0.051	2.334	0.000
0.056	2.386	0.000
0.060	2.443	0.000
0.064	2.492	0.000
0.070	2.538	0.000
0.076	2.576	0.000
0.079	2.617	0.000
0.086	2.663	0.000
0.090	2.705	0.000
0.095	2.749	0.000
0.100	2.791	0.000
0.105	2.831	0.000
0.110	2.868	0.000
0.115	2.899	0.000
0.119	2.939	0.000
0.124	2.974	0.000
0.130	3.010	0.000
0.135	3.049	0.000
0.140	3.082	0.000
0.145	3.113	0.000
0.150	3.150	0.000
0.154	3.181	0.000
0.160	3.216	0.000
0.163	3.246	0.000
0.167	3.284	0.000
0.173	3.313	0.000
0.179	3.336	0.000
0.183	3.370	0.000
0.189	3.397	0.000
0.194	3.432	0.000
0.199	3.459	0.000
0.204	3.496	0.000
0.210	3.529	0.000
0.215	3.554	0.000
0.219	3.585	0.000
0.225	3.616	0.000
0.230	3.649	0.000
0.235	3.680	0.000
0.240	3.707	0.000
0.247	3.738	0.000
0.251	3.766	0.000
0.256	3.796	0.000
0.262	3.820	0.000
0.266	3.856	0.000
0.272	3.882	0.000
0.278	3.908	0.000
0.282	3.937	0.000
0.287	3.968	0.000
0.292	3.993	0.000
0.297	4.023	0.000
0.303	4.050	0.000
0.308	4.082	0.000
0.313	4.110	0.000
0.319	4.138	0.000
0.323	4.162	0.000
0.328	4.193	0.000
0.333	4.221	0.000
0.338	4.253	0.000
0.343	4.281	0.000
0.348	4.323	0.000
0.353	4.357	0.000
0.357	4.468	0.000
0.361	4.529	0.000
0.366	4.604	0.000
0.369	4.689	0.000
0.373	4.794	0.000
0.378	4.889	0.000
0.383	4.951	0.000
0.386	5.033	0.000
0.388	5.209	0.000
0.394	5.262	0.000
0.395	5.382	0.000
0.400	5.535	0.000
0.403	5.628	0.000
0.409	5.682	0.000
0.412	5.756	0.100
0.417	5.858	0.100
0.421	5.978	0.200
0.424	6.031	0.200
0.429	6.103	0.300
0.433	6.199	0.300
0.438	6.240	0.300
0.441	6.287	0.400
0.446	6.383	9.800
0.450	6.440	18.000
0.455	6.477	18.300
0.460	6.523	21.000
0.465	6.565	24.700
0.470	6.603	27.300
0.475	6.625	27.200
0.481	6.667	30.900
0.483	6.731	32.300
0.491	6.745	36.700
0.497	6.784	32.500
0.501	6.823	34.800
0.506	6.853	39.200
0.511	6.882	41.200
0.516	6.906	43.400
0.521	6.936	44.500
0.526	6.957	39.500
0.531	6.991	35.800
0.537	7.022	31.100
0.542	7.053	24.000
0.547	7.085	21.100
0.552	7.113	19.700
0.558	7.138	20.500
0.563	7.161	21.900
0.569	7.195	22.300
0.573	7.215	21.500
0.580	7.238	23.000
0.585	7.262	24.500
0.590	7.286	25.400
0.596	7.308	24.900
0.600	7.332	68.400
0.605	7.353	45.700
0.611	7.371	60.900
0.616	7.390	45.600
0.622	7.417	158.700
0.627	7.439	163.400
0.632	7.462	186.000
0.636	7.478	196.800
0.642	7.504	207.900
0.648	7.530	219.000
0.652	7.554	220.500
0.658	7.570	226.600
0.663	7.601	236.700
0.669	7.616	244.100
0.674	7.643	246.100
0.680	7.666	254.800
0.685	7.684	264.200
0.690	7.709	267.300
0.696	7.729	270.100
0.701	7.753	278.600
0.706	7.778	288.100
0.711	7.796	290.000
0.716	7.823	292.900
0.722	7.839	300.900
0.727	7.861	310.400
0.733	7.892	312.500
0.737	7.908	314.800
0.744	7.932	323.600
0.749	7.954	331.400
0.754	7.973	331.700
0.758	7.993	335.000
0.765	8.009	403.500
0.770	8.033	420.600
0.774	8.056	418.600
0.780	8.071	422.000
0.785	8.094	422.300
0.790	8.119	376.900
0.796	8.139	391.300
0.801	8.152	427.400
0.807	8.171	430.900
0.812	8.191	532.400
0.818	8.210	533.000
0.822	8.230	538.800
0.829	8.247	548.400
0.834	8.267	555.600
0.840	8.289	554.800
0.845	8.306	560.200
0.850	8.326	568.000
0.856	8.348	575.500
0.861	8.369	581.300
0.866	8.386	599.300
0.870	8.401	599.900
0.876	8.428	602.800
0.881	8.451	605.600
0.886	8.471	612.600
0.891	8.490	618.200
0.897	8.509	620.500
0.902	8.534	623.000
0.908	8.549	624.000
0.914	8.571	625.300
0.919	8.588	629.200
0.924	8.605	760.300
0.929	8.632	820.000
0.935	8.654	823.500
0.941	8.672	827.500
0.946	8.690	833.300
0.951	8.711	841.400
0.956	8.718	841.100
0.961	8.742	849.200
0.967	8.759	864.500
0.974	8.783	872.700
0.979	8.802	873.000
0.984	8.818	876.700
0.989	8.832	876.700
0.995	8.852	906.900
1.000	8.870	949.900
1.006	8.896	884.900
1.011	8.912	894.800
1.017	8.926	893.100
1.022	8.950	905.800
1.027	8.961	910.000
1.032	8.978	908.000
1.038	8.998	906.900
1.044	9.013	911.500
1.049	9.031	909.700
1.054	9.052	905.200
1.058	9.068	902.900
1.064	9.083	895.900
1.069	9.105	892.500
1.074	9.127	887.500
1.081	9.138	884.800
1.086	9.160	883.300
1.091	9.182	925.100
1.096	9.195	919.600
1.101	9.212	915.700
