49.99228	0.09531
50.02937	0.11162
50.06646	0.13208
50.10354	0.15520
50.14063	0.17994
50.17771	0.20556
50.21480	0.23147
50.25189	0.25717
50.28897	0.28221
50.32606	0.30614
50.36315	0.32853
50.40023	0.34899
50.43732	0.36713
50.47440	0.38264
50.51149	0.39521
50.54858	0.40464
50.58566	0.41074
50.62275	0.41340
50.65984	0.41256
50.69692	0.40828
50.73401	0.40075
50.77109	0.39045
50.80818	0.37827
50.84527	0.36564
50.88235	0.35443
50.91944	0.34626
50.95653	0.34189
50.99361	0.34127
51.03070	0.34422
51.06778	0.35070
51.10487	0.36077
51.14196	0.37436
51.17904	0.39110
51.21613	0.41016
51.25322	0.43036
51.29030	0.45038
51.32739	0.46899
51.36447	0.48520
51.40156	0.49837
51.43865	0.50823
51.47573	0.51480
51.51282	0.51838
51.54991	0.51942
51.58699	0.51838
51.62408	0.51556
51.66116	0.51101
51.69825	0.50447
51.73534	0.49544
51.77242	0.48329
51.80951	0.46750
51.84660	0.44780
51.88368	0.42426
51.92077	0.39749
51.95786	0.36865
51.99494	0.33979
52.03203	0.31442
52.06911	0.29762
52.10620	0.29032
52.14329	0.28733
52.18037	0.28522
52.21746	0.28327
52.25455	0.28183
52.29163	0.28164
52.32872	0.28371
52.36580	0.28912
52.40289	0.29858
52.43998	0.31185
52.47706	0.32776
52.51415	0.34476
52.55124	0.36140
52.58832	0.37657
52.62541	0.38948
52.66249	0.39964
52.69958	0.40680
52.73667	0.41092
52.77375	0.41219
52.81084	0.41098
52.84793	0.40782
52.88501	0.40342
52.92210	0.39858
52.95918	0.39410
52.99627	0.39075
53.03336	0.38928
53.07044	0.39044
53.10753	0.39513
53.14462	0.40432
53.18170	0.41864
53.21879	0.43761
53.25587	0.45932
53.29296	0.48110
53.33005	0.50042
53.36713	0.51543
53.40422	0.52502
53.44131	0.52879
53.47839	0.52685
53.51548	0.51975
53.55256	0.50836
53.58965	0.49370
53.62674	0.47685
53.66382	0.45887
53.70091	0.44063
53.73800	0.42283
53.77508	0.40593
53.81217	0.39012
53.84925	0.37540
53.88634	0.36157
53.92343	0.34833
53.96051	0.33530
53.99760	0.32205
54.03469	0.30820
54.07177	0.29342
54.10886	0.27746
54.14594	0.26020
54.18303	0.24166
54.22012	0.22207
54.25720	0.20188
54.29429	0.18204
54.33138	0.16495
54.36846	0.15749
54.40555	0.16442
54.44263	0.17767
54.47972	0.19248
54.51681	0.20760
54.55389	0.22259
54.59098	0.23719
54.62807	0.25113
54.66515	0.26410
54.70224	0.27581
54.73932	0.28597
54.77641	0.29434
54.81350	0.30076
54.85058	0.30520
54.88767	0.30772
54.92476	0.30852
54.96184	0.30788
54.99893	0.30617
55.03601	0.30377
55.07310	0.30102
55.11019	0.29819
55.14727	0.29544
55.18436	0.29281
55.22145	0.29020
55.25853	0.28747
55.29562	0.28441
55.33271	0.28084
55.36979	0.27665
55.40688	0.27184
55.44396	0.26653
55.48105	0.26097
55.51814	0.25550
55.55522	0.25049
55.59231	0.24620
55.62940	0.24276
55.66648	0.24021
55.70357	0.23862
55.74065	0.23819
55.77774	0.23937
55.81483	0.24275
55.85191	0.24887
55.88900	0.25806
55.92609	0.27028
55.96317	0.28502
56.00026	0.30143
56.03734	0.31844
56.07443	0.33495
56.11152	0.34998
56.14860	0.36282
56.18569	0.37333
56.22278	0.38251
56.25986	0.39358
56.29695	0.41036
56.33403	0.43043
56.37112	0.44909
56.40821	0.46408
56.44529	0.47463
56.48238	0.48067
56.51947	0.48242
56.55655	0.48026
56.59364	0.47458
56.63072	0.46576
56.66781	0.45405
56.70490	0.43963
56.74198	0.42263
56.77907	0.40315
56.81616	0.38134
56.85324	0.35746
56.89033	0.33192
56.92741	0.30527
56.96450	0.27822
57.00159	0.25157
57.03867	0.22617
57.07576	0.20289
57.11285	0.18254
57.14993	0.16587
57.18702	0.15357
57.22410	0.14624
57.26119	0.14420
57.29828	0.14728
57.33536	0.15456
57.37245	0.16474
57.40954	0.17658
57.44662	0.18916
57.48371	0.20189
57.52079	0.21446
57.55788	0.22681
57.59497	0.23906
57.63205	0.25155
57.66914	0.26472
57.70623	0.27913
57.74331	0.29532
57.78040	0.31375
57.81748	0.33465
57.85457	0.35805
57.89166	0.38367
57.92874	0.41098
57.96583	0.43923
58.00292	0.46752
58.04000	0.49486
58.07709	0.52022
58.11417	0.54267
58.15126	0.56138
58.18835	0.57569
58.22543	0.58522
58.26252	0.58979
58.29961	0.58952
58.33669	0.58478
58.37378	0.57615
58.41086	0.56438
58.44795	0.55028
58.48504	0.53465
58.52212	0.51823
58.55921	0.50159
58.59630	0.48517
58.63338	0.46933
58.67047	0.45439
58.70756	0.44076
58.74464	0.42903
58.78173	0.41992
58.81881	0.41417
58.85590	0.41221
58.89299	0.41386
58.93007	0.41826
58.96716	0.42415
59.00425	0.43020
59.04133	0.43529
59.07842	0.43856
59.11550	0.43945
59.15259	0.43766
59.18968	0.43307
59.22676	0.42572
