200.00622	0.26760
199.96913	0.25759
199.93205	0.24512
199.89496	0.23234
199.85787	0.21952
199.82079	0.20580
199.78370	0.19034
199.74661	0.17288
199.70953	0.15380
199.67244	0.13381
199.63536	0.11356
199.59827	0.09365
199.56118	0.07489
199.52410	0.05872
199.48701	0.04736
199.44992	0.04355
199.41284	0.04987
199.37575	0.06777
199.33867	0.09203
199.30158	0.12355
199.26449	0.15889
199.22741	0.19338
199.19032	0.22233
199.15323	0.24238
199.11615	0.25235
199.07906	0.25353
199.04198	0.24896
199.00489	0.24221
198.96780	0.23592
198.93072	0.23068
198.89363	0.22487
198.85654	0.21554
198.81946	0.20005
198.78237	0.17794
198.74529	0.15204
198.70820	0.12821
198.67111	0.11354
198.63403	0.11365
198.59694	0.13008
198.55985	0.15908
198.52277	0.19243
198.48568	0.22010
198.44860	0.23374
198.41151	0.22952
198.37442	0.20918
198.33734	0.17891
198.30025	0.14673
198.26316	0.11964
198.22608	0.10176
198.18899	0.09410
198.15191	0.09733
198.11482	0.10764
198.07773	0.12264
198.04065	0.13970
198.00356	0.15531
197.96647	0.16498
197.92939	0.16431
197.89230	0.15107
197.85522	0.12708
197.81813	0.09871
197.78104	0.07487
197.74396	0.06316
197.70687	0.06562
197.66978	0.07653
197.63270	0.08369
197.59561	0.07322
197.55853	0.03600
197.52144	-0.02722
197.48435	-0.10457
197.44727	-0.17668
197.41018	-0.22372
197.37309	-0.23306
197.33601	-0.20409
197.29892	-0.14809
197.26184	-0.08340
197.22475	-0.02807
197.18766	0.00682
197.15058	0.02035
197.11349	0.02046
197.07640	0.01923
197.03932	0.02716
197.00223	0.04891
196.96515	0.08281
196.92806	0.12053
196.89097	0.15255
196.85389	0.17145
196.81680	0.17418
196.77971	0.16214
196.74263	0.13972
196.70554	0.11232
196.66846	0.08474
196.63137	0.06038
196.59428	0.04103
196.55720	0.02711
196.52011	0.01803
196.48302	0.01253
196.44594	0.00924
196.40885	0.00722
196.37176	0.00647
196.33468	0.00794
196.29759	0.01301
196.26051	0.02261
196.22342	0.03638
196.18633	0.05241
196.14925	0.06779
196.11216	0.07969
196.07507	0.08644
196.03799	0.08799
196.00090	0.08552
195.96382	0.08048
195.92673	0.07370
195.88964	0.06528
195.85256	0.05531
195.81547	0.04511
195.77838	0.03782
195.74130	0.03868
195.70421	0.05237
195.66713	0.08078
195.63004	0.12120
195.59295	0.16626
195.55587	0.20597
195.51878	0.23111
195.48169	0.23649
195.44461	0.22247
195.40752	0.19416
195.37044	0.15876
195.33335	0.12236
195.29626	0.08799
195.25918	0.05574
195.22209	0.02473
195.18500	-0.00449
195.14792	-0.02847
195.11083	-0.04160
195.07375	-0.03859
195.03666	-0.01751
194.99957	0.01839
194.96249	0.06129
194.92540	0.10170
194.88831	0.13232
194.85123	0.15096
194.81414	0.16091
